kiosk_no,owner,distirict,term_no,lat,lon,title,term_type,address
0040000945,ÖNDER SÖZEN,null,01032,40.787288,29.969458,CANPA MARKET,0,YEŞİLOVA MAH. SERÇE SOK 23 A İZMİT/KOCAELİ
0040000955,GÜNKAY GIDA INŞAAT NAK.TURIZM PAZ.SAN,null,01043,40.765029,29.873855,GÜNKAY GIDA INŞAAT NAK.TURIZM PAZ.SAN,0,FATİH MAH. BARIŞ CAD. KURUÇEŞME 24 İZMİT/KOCAELİ
0040000982,ALİ KAMER GÖKSU,null,01072,40.772951,29.909486,KISMET BAKKALİYESİ,0,GÜLTEPE MAH. KEREM SOK. 3 İZMİT/KOCAELİ
0040000999,ANIL ÇOLAK,null,01089,40.713986,29.927065,ÇOLAK MARKET,0,SAHİL MAH. D130 K.Y CAD. NO:43A BAŞİSKELE/KOCAELİ
0040001011,METİN KAVŞUT,null,01104,40.754451,29.780676,GÜNEY GIDA,0,GÜNEY MAH. GÜVERCİN SOK. 28 A KÖRFEZ/KOCAELİ
0040001039,SADREDDİN ASLAN,null,01153,40.715481,29.829729,GÖÇMEN BÖREKÇİSİ,0,ŞEHİTLER MAH ATATÜRK BLV. 220 GÖLCÜK/KOCAELİ
0040001077,KEMAL ÖZSOY,null,01197,40.75919,29.943218,VALİ MARKET,0,KAYMAZ MAH. OMURCALI MEVKİİ KM. EVL. CAMİ LOJMANI 18 KANDIRA/KOCAELİ
0040001079,CEZMİ DURSUN,null,01199,40.759246,29.801962,UFUK GIDA,0,İBNİ SİNA MAH. GÜLAY SOK. 19 A DERİNCE/KOCAELİ
0040001085,ALAATTİN OKAN ,null,01205,41.169897,30.227333,OKAN MARKET,0,KEFKEN MAH. CUMHURİYET CAD. 165 A KANDIRA/KOCAELİ
0040000867,ERDAL MENGÜNOĞUL,null,00944,40.759521,29.836517,YAĞMUR MARKET,0,ÇENEDAĞ MAH. SEMT ESENTEPE CAD. 28 DERİNCE/KOCAELİ
0040000879,MUSTAFA ARSLAN,null,00956,40.772593,29.960722,DENİZ MARKET,0,YENİŞEHİR MAH. SEMT BADE SOK. 47 1 İZMİT/KOCAELİ
0040000899,MERYEM GÖZÜTOK,null,00981,40.765105,29.808667,GÖZÜTOK KARDEŞLER MARKET,0,İBNİSİNA MAH. NATO CAD. 377 A DERİNCE/KOCAELİ
0040000911,SELİM ALİŞAN,null,00995,40.753399,29.812299,SELMAR MARKET,0,YAVUZ SULTAN MAH. YENİLİK SOK. 31 1 DERİNCE/KOCAELİ
0040000913,KAZIM İŞTENYILMAZ,null,00997,40.767438,29.841905,ÇENESUYU KURUYEMİŞ,0,ÇINARLI MAH. ÇENESUYU CAD. 18 DERİNCE/KOCAELİ
0040000942,ŞENGÜL SAĞLAM,null,01029,40.758316,29.833051,YAPRAK BÜFE,0,ÇENEDAĞ MAH. GÜNDOĞDU SOK. 20 B DERİNCE/KOCAELİ
0040000988,AZMİ KUŞKU,null,01078,40.76335,29.930407,null,0,KEMALPAŞA MAH. HÜRRÜYET CAD. GAKKO İŞHANI 1/D İZMİT/KOCAELİ 
0040001300,MURAT KUŞKU,null,01456,40.756561,29.949519,BIYIKLI TOBACCO SHOP,0,SANAYİ MAH ÖMER TÜRKÇAKAL BULVARI NO:7 41 BURDA ALIŞVERİŞ MERKEZİ 
0040001302,NİZAMETTİN BÜLBÜL,null,01458,40.78465,29.410139,GARANTİ ONLINE FATURA ,0,İSTASYON MAH. 1414. SOK 28 A 
0040001303,HMR İLETİŞİM TİC.TAH.TİC.LTD.ŞTİ.,null,01459,40.772741,29.954368,HMR İLETİŞİM TİC.TAH.TİC.LTD.ŞTİ.,0,BEKİRDERE MAH TURAN GÜNEŞ CAD 327/A 
0040001304,BURAK DEŞAT,null,01460,40.773718,29.949138,ELMALIK MARKET,0,28 HAZİRAN MAH DERE SOK 37/A 
0040001093,ŞÜKRAN AKBAŞ,null,01214,40.765597,29.944167,SEMT MARKET,0,KADIKÖY ATATÜRK BULVARI 51 B 
0040001105,FİKRİYE KANDEMİR,null,01229,40.767618,29.937083,MURAT BÜFE,0,CEDİT MAH. TURAN GÜNEŞ CAD. 28 
0040001113,HURİYE ÜÇGEN,null,01237,40.778133,29.709334,ÜÇGEN MARKET,0,KİRAZLIYALI MAH. ATATÜRK CAD. NO:199 
0040001170,EBRU TUNCEL,null,01304,40.772877,29.810539,MERKEZ BÜFE,0,YENİKENT MAH GAZİ MUSTAFA KEMAL CAD 21 
